date	sensor	value	cx	cy
2022-01-28T04:00:00Z	vpd02_p	1.31354240285493	496	895
2022-01-28T04:15:00Z	vpd02_p	1.31580323315245	496	895
2022-01-28T04:30:00Z	vpd02_p	1.31213335111504	496	895
2022-01-28T04:45:00Z	vpd02_p	1.32336736953212	496	895
2022-01-28T05:00:00Z	vpd02_p	1.32336736953212	496	895
2022-01-28T05:15:00Z	vpd02_p	1.39989519524886	496	895
2022-01-28T05:30:00Z	vpd02_p	1.48362178082641	496	895
2022-01-28T05:45:00Z	vpd02_p	1.53595645789763	496	895
2022-01-28T06:00:00Z	vpd02_p	1.54295478129567	496	895
2022-01-28T06:15:00Z	vpd02_p	1.55246963662884	496	895
2022-01-28T06:30:00Z	vpd02_p	1.57418039496803	496	895
2022-01-28T06:45:00Z	vpd02_p	1.58640786037361	496	895
2022-01-28T07:00:00Z	vpd02_p	1.59871872194389	496	895
2022-01-28T07:15:00Z	vpd02_p	1.61111346964488	496	895
2022-01-28T07:30:00Z	vpd02_p	1.63615659531777	496	895
2022-01-28T07:45:00Z	vpd02_p	1.67436281751664	496	895
2022-01-28T08:00:00Z	vpd02_p	1.72652311512295	496	895
2022-01-28T08:15:00Z	vpd02_p	1.83845856379352	496	895
2022-01-28T08:30:00Z	vpd02_p	1.91810709986537	496	895
2022-01-28T08:45:00Z	vpd02_p	2.01816165472365	496	895
2022-01-28T09:00:00Z	vpd02_p	2.16082616120735	496	895
2022-01-28T09:15:00Z	vpd02_p	2.39261562723884	496	895
2022-01-28T09:30:00Z	vpd02_p	2.4970047278678	496	895
2022-01-28T09:45:00Z	vpd02_p	2.43301115215018	496	895
2022-01-28T10:00:00Z	vpd02_p	2.29231376205814	496	895
2022-01-28T10:15:00Z	vpd02_p	2.24724901977016	496	895
2022-01-28T10:30:00Z	vpd02_p	2.23254189267742	496	895
2022-01-28T10:45:00Z	vpd02_p	2.30670181246707	496	895
2022-01-28T11:00:00Z	vpd02_p	2.36262745499827	496	895
2022-01-28T11:15:00Z	vpd02_p	2.31917975287323	496	895
2022-01-28T11:30:00Z	vpd02_p	2.32693326069045	496	895
2022-01-28T11:45:00Z	vpd02_p	2.43098312454361	496	895
2022-01-28T12:00:00Z	vpd02_p	2.25592774155759	496	895
2022-01-28T12:15:00Z	vpd02_p	2.15772152591826	496	895
2022-01-28T12:30:00Z	vpd02_p	2.10473273712319	496	895
2022-01-28T12:45:00Z	vpd02_p	2.08004379006016	496	895
2022-01-28T13:00:00Z	vpd02_p	2.04922232132185	496	895
2022-01-28T13:15:00Z	vpd02_p	2.08320723810548	496	895
2022-01-28T13:30:00Z	vpd02_p	2.16235460969995	496	895
2022-01-28T13:45:00Z	vpd02_p	2.10191201748286	496	895
2022-01-28T14:00:00Z	vpd02_p	2.07071424117531	496	895
2022-01-28T14:15:00Z	vpd02_p	2.05526856137825	496	895
2022-01-28T14:30:00Z	vpd02_p	2.06461319814577	496	895
2022-01-28T14:45:00Z	vpd02_p	2.14281715841542	496	895
2022-01-28T15:00:00Z	vpd02_p	2.07069620792253	496	895
2022-01-28T15:15:00Z	vpd02_p	2.3375062485625	496	895
2022-01-28T15:30:00Z	vpd02_p	2.23958156004638	496	895
2022-01-28T15:45:00Z	vpd02_p	2.07052492651577	496	895
2022-01-28T16:00:00Z	vpd02_p	2.08621602682592	496	895
2022-01-28T16:15:00Z	vpd02_p	2.11131648119836	496	895
2022-01-28T16:30:00Z	vpd02_p	2.36418249676293	496	895
2022-01-28T16:45:00Z	vpd02_p	2.21668800758892	496	895
2022-01-28T17:00:00Z	vpd02_p	2.0126228504709	496	895
2022-01-28T17:15:00Z	vpd02_p	2.01268068788191	496	895
2022-01-28T17:30:00Z	vpd02_p	1.98540037735339	496	895
2022-01-28T17:45:00Z	vpd02_p	1.96418235805343	496	895
2022-01-28T18:00:00Z	vpd02_p	1.93690204752491	496	895
2022-01-28T18:15:00Z	vpd02_p	1.9042239576135	496	895
2022-01-28T18:30:00Z	vpd02_p	1.90962173699639	496	895
2022-01-28T18:45:00Z	vpd02_p	1.90052830015355	496	895
2022-01-28T19:00:00Z	vpd02_p	1.88011985688421	496	895
2022-01-28T19:15:00Z	vpd02_p	1.82956661033644	496	895
2022-01-28T19:30:00Z	vpd02_p	1.75032633372358	496	895
2022-01-28T19:45:00Z	vpd02_p	1.69735204662611	496	895
2022-01-28T20:00:00Z	vpd02_p	1.64578978741011	496	895
2022-01-28T20:15:00Z	vpd02_p	1.59741111908877	496	895
2022-01-28T20:30:00Z	vpd02_p	1.55539090351069	496	895
2022-01-28T20:45:00Z	vpd02_p	1.52360890420091	496	895
2022-01-28T21:00:00Z	vpd02_p	1.50848426291479	496	895
2022-01-28T21:15:00Z	vpd02_p	1.49830335675656	496	895
2022-01-28T21:30:00Z	vpd02_p	1.4757522028755	496	895
2022-01-28T21:45:00Z	vpd02_p	1.47208880123558	496	895
2022-01-28T22:00:00Z	vpd02_p	1.46588977310234	496	895
2022-01-28T22:15:00Z	vpd02_p	1.45020689237656	496	895
2022-01-28T22:30:00Z	vpd02_p	1.42538997529478	496	895
2022-01-28T22:45:00Z	vpd02_p	1.41238331885711	496	895
2022-01-28T23:00:00Z	vpd02_p	1.39493229356539	496	895
2022-01-28T23:15:00Z	vpd02_p	1.36911012074177	496	895
2022-01-28T23:30:00Z	vpd02_p	1.35212903996083	496	895
2022-01-28T23:45:00Z	vpd02_p	1.34153015234266	496	895
2022-01-28T00:00:00Z	vpd03_p	1.26315046591164	823	895
2022-01-28T00:15:00Z	vpd03_p	1.26778588046544	823	895
2022-01-28T00:30:00Z	vpd03_p	1.27010358774234	823	895
2022-01-28T00:45:00Z	vpd03_p	1.27473900229615	823	895
2022-01-28T01:00:00Z	vpd03_p	1.28169212412685	823	895
2022-01-28T01:15:00Z	vpd03_p	1.28864524595756	823	895
2022-01-28T01:30:00Z	vpd03_p	1.3059877272793	823	895
2022-01-28T01:45:00Z	vpd03_p	1.31065196916244	823	895
2022-01-28T02:00:00Z	vpd03_p	1.30950461144968	823	895
2022-01-28T02:15:00Z	vpd03_p	1.32697681575343	823	895
2022-01-28T02:30:00Z	vpd03_p	1.30831514792654	823	895
2022-01-28T02:45:00Z	vpd03_p	1.30250584834634	823	895
2022-01-28T03:00:00Z	vpd03_p	1.29443722262496	823	895
2022-01-28T03:15:00Z	vpd03_p	1.30126202344723	823	895
2022-01-28T03:30:00Z	vpd03_p	1.31852964612916	823	895
2022-01-28T03:45:00Z	vpd03_p	1.31718655869921	823	895
2022-01-28T04:00:00Z	vpd03_p	1.32401135952149	823	895
2022-01-28T04:15:00Z	vpd03_p	1.32628629312891	823	895
2022-01-28T04:30:00Z	vpd03_p	1.33083616034376	823	895
2022-01-28T04:45:00Z	vpd03_p	1.34221082838089	823	895
2022-01-28T05:00:00Z	vpd03_p	1.34221082838089	823	895
2022-01-28T05:15:00Z	vpd03_p	1.44032229981826	823	895
2022-01-28T05:30:00Z	vpd03_p	1.51672731497104	823	895
2022-01-28T05:45:00Z	vpd03_p	1.58714895452206	823	895
2022-01-28T06:00:00Z	vpd03_p	1.62941412140521	823	895
2022-01-28T06:15:00Z	vpd03_p	1.65207667647253	823	895
2022-01-28T06:30:00Z	vpd03_p	1.67239778352715	823	895
2022-01-28T06:45:00Z	vpd03_p	1.68527750824208	823	895
2022-01-28T07:00:00Z	vpd03_p	1.6982443790977	823	895
2022-01-28T07:15:00Z	vpd03_p	1.71129890411648	823	895
2022-01-28T07:30:00Z	vpd03_p	1.73497051480672	823	895
2022-01-28T07:45:00Z	vpd03_p	1.75346175388558	823	895
2022-01-28T08:00:00Z	vpd03_p	1.78567771012001	823	895
2022-01-28T08:15:00Z	vpd03_p	1.86939374845077	823	895
2022-01-28T08:30:00Z	vpd03_p	1.99744738554027	823	895
2022-01-28T08:45:00Z	vpd03_p	2.19497714938735	823	895
2022-01-28T09:00:00Z	vpd03_p	2.32324408958834	823	895
2022-01-28T09:15:00Z	vpd03_p	2.40541036321338	823	895
2022-01-28T09:30:00Z	vpd03_p	2.53665782301285	823	895
2022-01-28T09:45:00Z	vpd03_p	2.65999428540833	823	895
2022-01-28T10:00:00Z	vpd03_p	2.46540056185959	823	895
2022-01-28T10:15:00Z	vpd03_p	2.34191920996187	823	895
2022-01-28T10:30:00Z	vpd03_p	2.31276410369563	823	895
2022-01-28T10:45:00Z	vpd03_p	2.37504599615463	823	895
2022-01-28T11:00:00Z	vpd03_p	2.39417400984245	823	895
2022-01-28T11:15:00Z	vpd03_p	2.33001937907333	823	895
2022-01-28T11:30:00Z	vpd03_p	2.36117641980171	823	895
2022-01-28T11:45:00Z	vpd03_p	2.49118086673318	823	895
2022-01-28T12:00:00Z	vpd03_p	2.22999995203495	823	895
2022-01-28T12:15:00Z	vpd03_p	2.13868003933485	823	895
2022-01-28T12:30:00Z	vpd03_p	2.16481088291529	823	895
2022-01-28T12:45:00Z	vpd03_p	2.0893021452088	823	895
2022-01-28T13:00:00Z	vpd03_p	2.06461319814577	823	895
2022-01-28T13:15:00Z	vpd03_p	2.10197167005853	823	895
2022-01-28T13:30:00Z	vpd03_p	2.16879018889549	823	895
2022-01-28T13:45:00Z	vpd03_p	2.11455509728727	823	895
2022-01-28T14:00:00Z	vpd03_p	2.08940382748718	823	895
2022-01-28T14:15:00Z	vpd03_p	2.10197167005853	823	895
2022-01-28T14:30:00Z	vpd03_p	2.16218076118525	823	895
2022-01-28T14:45:00Z	vpd03_p	2.22349261205754	823	895
2022-01-28T15:00:00Z	vpd03_p	2.12693272736107	823	895
2022-01-28T15:15:00Z	vpd03_p	2.46262585597337	823	895
2022-01-28T15:30:00Z	vpd03_p	2.24601713924191	823	895
2022-01-28T15:45:00Z	vpd03_p	2.07967304842969	823	895
2022-01-28T16:00:00Z	vpd03_p	2.10164661874031	823	895
2022-01-28T16:15:00Z	vpd03_p	2.13967519777259	823	895
2022-01-28T16:30:00Z	vpd03_p	2.45836700541946	823	895
2022-01-28T16:45:00Z	vpd03_p	2.20621742586922	823	895
